when  	WRB
the  	DT
dollar  	NN
advances  	NNS
central  	JJ
bank  	NN
lets  	VBZ
yuan  	JJ
weaken  	NN
against  	IN
it  	PRP
while  	IN
keeping  	VBG
largely  	RB
stable  	JJ
basket  	NN
The  	DT
real  	JJ
test  	NN
will  	MD
come  	VB
for  	IN
China  	NNP
's  	POS
and  	CC
its  	PRP$
exchange-rate  	JJ
policy  	NN
market  	NN
starts  	VBZ
to  	TO
price  	NN
in  	IN
more  	RBR
aggressive  	JJ
Fed  	NNP
rate  	NN
increases  	NNS
resumes  	VBZ
upward  	JJ
march  	NN
which  	WDT
suffered  	VBD
partly  	RB
because  	IN
of  	IN
falling  	VBG
commodity  	NN
prices  	NNS
a  	DT
stronger  	JJR
A  	DT
further  	JJ
decline  	NN
could  	MD
help  	VB
extend  	VB
rebound  	NN
stocks  	NNS
Dollar  	JJ
gains  	NNS
helped  	VBD
push  	VB
down  	RP
Energy  	NNP
led  	VBD
broader  	JJR
higher  	RBR
light  	JJ
holiday  	NN
trading  	NN
last  	JJ
week  	NN
as  	IN
oil  	NN
recovered  	VBD
slightly  	RB
Falling  	VBG
have  	VBP
hurt  	VBN
energy-company  	JJ
results  	NNS
strong  	JJ
has  	VBZ
reduced  	VBN
multinationals  	NNS
'  	POS
profits  	NNS
But  	CC
sharp  	JJ
depreciations  	NNS
emerging-market  	JJ
currencies  	NNS
declines  	NNS
recent  	JJ
weeks  	NNS
triggered  	VBN
an  	DT
exodus  	NN
from  	IN
emerging  	VBG
markets  	NNS
fueled  	VBD
fears  	NNS
among  	IN
investors  	NNS
over  	IN
these  	DT
companies  	NNS
ability  	NN
repay  	VB
their  	PRP$
debt  	NN
materials  	NNS
slumped  	VBN
amid  	IN
downturn  	NN
rising  	VBG
bond  	NN
yields  	NNS
dented  	VBN
high-dividend  	JJ
payers  	NNS
like  	IN
utilities  	NNS
Many  	NNP
forces  	NNS
that  	WDT
hobbled  	VBD
early  	JJ
--  	:
slumping  	VBG
soaring  	VBG
severe  	JJ
winter  	NN
West  	NNP
Coast  	NNP
port  	NN
dispute  	NN
ebbed  	VBN
or  	CC
reversed  	VBN
months  	NNS
Assuming  	VBG
do  	VBP
n't  	RB
make  	VB
another  	DT
move  	NN
S  	NNP
&  	CC
P  	NNP
earnings  	NNS
grow  	VB
by  	IN
%  	NN
this  	DT
year  	NN
fallout  	NN
run-up  	NN
sector  	NN
is  	VBZ
visible  	JJ
shares  	NNS
airlines  	NNS
rose  	VBD
sharply  	RB
second  	JJ
half  	NN
fell  	VBD
surge  	NN
during  	IN
first  	JJ
was  	VBD
economic-stimulus  	JJ
efforts  	NNS
European  	JJ
Central  	NNP
Bank  	NNP
drove  	VBD
eurozone  	RB
lessen  	VB
those  	DT
headwinds  	NNS
well  	RB
contain  	NN
downward  	JJ
pressure  	NN
on  	IN
provide  	VBP
relief  	NN
battered  	JJ
energy  	NN
citing  	VBG
strength  	NN
key  	JJ
factor  	NN
are  	VBP
predicting  	VBG
at  	IN
firms  	NNS
quarter  	NN
show  	VB
biggest  	JJS
annual  	JJ
since  	IN
third  	JJ
due  	JJ
part  	NN
hit  	VBN
lower  	JJR
Money  	NN
managers  	NNS
homing  	VBG
consumer-focused  	JJ
following  	VBG
stands  	VBZ
improve  	VB
U  	NNP
been  	VBN
reason  	NN
strategists  	NNS
say  	VBP
they  	PRP
underestimated  	VBD
potential  	JJ
Shares  	NNS
climbing  	VBG
across  	IN
Asia  	NNP
industrial  	JJ
commodities  	NNS
such  	JJ
copper  	NN
iron  	NN
ore  	RB
bounced  	VBN
back  	RP
signs  	NNS
economy  	NN
revving  	VBG
up  	RP
Investors  	NNS
suffering  	VBG
mounting  	VBG
losses  	NNS
decadelong  	JJ
rise  	NN
unravels  	JJ
slowing  	VBG
emerging-markets  	JJ
economies  	NNS
supplies  	NNS
metals  	NNS
eventual  	JJ
end  	NN
central-bank  	JJ
stimulus  	NN
policies  	NNS
propped  	VBD
raw  	JJ
Outsize  	VB
compared  	VBN
with  	IN
raised  	VBN
some  	DT
questions  	NNS
about  	IN
state  	NN
recovery  	NN
Japanese  	JJ
Monday  	NNP
yen  	NN
weakened  	VBN
continued  	JJ
swift  	NN
mean  	VB
retreat  	NN
dividend-paying  	JJ
decide  	IN
getting  	VBG
better  	JJR
deal  	NN
safe  	JJ
government  	NN
Romney  	NNP
betting  	VBG
gold  	NN
There  	EX
softness  	NN
demand  	NN
cut  	VB
into  	IN
U.  	NNP
fund  	NN
positioned  	VBN
Asian  	JJ
high-quality  	JJ
fear  	VBP
high  	JJ
inflation  	NN
other  	JJ
may  	MD
quash  	VB
nascent  	JJ
weigh  	NN
ticking  	VBG
many  	JJ
saw  	VBD
them  	PRP
proxies  	NNS
economic  	JJ
auto  	NN
maker  	NN
reported  	VBD
costs  	NNS
steel  	NN
drag  	VB
fourth-quarter  	JJ
profit  	NN
meaning  	VBG
almost  	RB
always  	RB
were  	VBD
mostly  	RB
what  	WP
rally  	RB
despite  	IN
spreading  	VBG
political  	JJ
turmoil  	NN
Middle  	NNP
East  	NNP
sustained  	VBD
misery  	NN
also  	RB
suggest  	VBP
expectations  	NNS
``  	``
We  	PRP
here  	RB
categorically  	RB
nothing  	NN
whatsoever  	NN
equities  	NNS
boost  	VB
lift  	JJ
sparked  	VBD
pattern  	JJ
had  	VBD
rely  	VB
Prices  	NNS
precious  	JJ
metal  	NN
all-time  	JJ
highs  	NNS
both  	DT
gasoline  	NN
started  	VBD
July  	NNP
stock  	NN
celebrated  	VBD
hopes  	NNS
would  	MD
consumer  	NN
spending  	NN
speed  	NN
drop  	NN
fueling  	VBG
It  	PRP
holds  	VBZ
large  	JJ
amounts  	NNS
hedges  	NNS
sending  	VBG
flying  	VBG
Giving  	VBG
Stocks  	VBZ
Lift  	NNP
-  	:
Verizon  	NN
Vodafone  	NNP
Jump  	NNP
Deal  	NNP
News  	NNP
As  	IN
Oil  	NNP
Rise  	NNP
futures  	NNS
retreated  	VBD
record  	NN
around  	IN
$  	$
barrel  	NN
relatively  	RB
benign  	JJ
data  	NNS
price-sensitive  	JJ
retailers  	NNS
Macy  	NNP
Range  	NNP
Resources  	NNPS
plunged  	VBD
Wednesday  	NNP
Dow  	NNP
Jones  	NNP
Industrial  	NNP
Average  	NNP
recorded  	VBD
two-session  	NN
February  	NNP
after  	IN
Federal  	NNP
Reserve  	NNP
warned  	VBD
concern  	NN
likely  	RB
preclude  	VB
interest-rate  	JJ
closed  	VBN
above  	IN
pessimism  	NN
pared  	VBN
driven  	VBN
Airline  	VBP
weighed  	VBD
gain  	NN
With  	IN
bought  	VBD
free  	JJ
fall  	NN
levels  	NNS
long  	JJ
overseas  	JJ
toward  	IN
values  	NNS
similar  	JJ
Despite  	IN
declining  	VBG
several  	JJ
airline  	NN
Friday  	NNP
impact  	NN
flight  	NN
cancellations  	NNS
spot  	NN
safety  	NN
checks  	NNS
deflated  	VBD
silver  	NN
all  	DT
only  	JJ
areas  	NNS
momentum  	NN
financial  	JJ
but  	CC
ounce  	NN
reacted  	VBN
positively  	RB
theory  	NN
International  	NNP
Business  	NNP
Machines  	NNPS
revived  	VBD
soften  	VB
blow  	NN
domestic  	JJ
slowdown  	NN
big  	JJ
tech  	NN
He  	PRP
take  	VB
advantage  	NN
protect  	JJ
clients  	NNS
weakening  	NN
tend  	VBP
recession  	NN
cooled  	VBN
waffled  	VBD
weakness  	NN
transportation  	NN
Last  	JJ
slide  	NN
began  	VBD
Tuesday  	NNP
close  	RB
three-year  	JJ
low  	NN
